#,Kanji,English,On'yomi,Kun'yomi
1,一,one,"ichi, itsu",hito-tsu
2,二,two,"ni, ji",futa-tsu
3,三,three,san,mit-tsu
4,四,four,shi,"yot-tsu, yon"
5,五,five,go,itsu-tsu
6,六,six,roku,mut-tsu
7,七,seven,shichi,"nana-tsu, nana"
8,八,eight,hachi,yat-tsu
9,九,nine,"ku, kyū",kokono-tsu
10,十,ten,jū,tō
11,百,hundred,hyaku,momo
12,千,thousand,sen,chi
13,上,"top, above",jō,ue
14,下,"bottom, below","ka, ge","shita, shimo, moto"
15,左,left,sa,hidari
16,右,right,"u, yū",migi
17,中,"inside, middle","chū, jū",naka
18,大,large,"dai, tai","ō-kii, ō"
19,小,small,shō,"chii-sai, ko, o"
20,月,"month, moon","gatsu, getsu",tsuki
21,日,"day, sun","nichi, jitsu","hi, ka"
22,年,year,nen,toshi
23,早,early,"sō, sa",haya-i
24,木,tree,"moku, boku",ki
25,林,woods,rin,hayashi
26,山,mountain,san,yama
27,川,river,sen,kawa
28,土,soil,"to, do",tsuchi
29,空,"sky, empty",kū,"sora, a-ku, kara"
30,田,rice field,den,"da, ta"
31,天,"heaven, sky",ten,"ame, ama"
32,生,"living, birth, raw","sei, shō","i-kiru, u-mu, nama"
33,花,flower,ka,hana
34,草,grass,sō,kusa
35,虫,insect,chū,mushi
36,犬,dog,ken,inu
37,人,person,"jin, nin",hito
38,名,name,"mei, myō",na
39,女,female,"jo, nyo",on'na
40,男,male,"dan, nan",otoko
41,子,child,"shi, su",ko
42,目,eye,moku,me
43,耳,ear,"ji, ni",mimi
44,口,mouth,kō,kuchi
45,手,hand,shu,te
46,足,"foot, suffice",soku,"ashi, ta-riru"
47,見,see,"ken, gen",mi-ru
48,音,sound,on,"ne, oto"
49,力,power,"riki, ryoku",chikara
50,気,"spirit, air","ki, ke",iki
51,円,"yen, circle",en,maru
52,入,enter,nyū,"hai-ru, i-ru"
53,出,exit,shutsu,de-ru
54,立,stand up,ritsu,ta-tsu
55,休,rest,kyū,yasu-mu
56,先,previous,sen,saki
57,夕,evening,seki,yū
58,本,book,hon,moto
59,文,text,"bun, mon",fumi
60,字,character,ji,aza
61,学,study,gaku,mana-bu
62,校,school,kō,kase
63,村,village,son,mura
64,町,town,chō,machi
65,森,forest,shin,mori
66,正,correct,"sei, shō","tada-shii, masa"
67,水,water,sui,mizu
68,火,fire,ka,hi
69,玉,"jewel, ball",gyoku,tama
70,王,king,ō,kimi
71,石,stone,"seki, koku",ishi
72,竹,bamboo,chiku,take
73,糸,thread,shi,ito
74,貝,shellfish,bai,kai
75,車,vehicle,sha,kuruma
76,金,"gold, money",kin,"kane, kana"
77,雨,rain,u,"ame, ama"
78,赤,red,seki,aka
79,青,blue,"sei, shō",ao
80,白,white,haku,"shiro, shira"
