任務領域,詞彙,漢語拼音,詞類
個人資料,出生,chūshēng ,(VA)
,國,guó ,(N)
,不同,bùtóng ,(VS)
,地址,dìzhǐ,(N)
,市,shì,(N)
,傳真,chuánzhēn ,(N)
,留言,liú​yán,(VA)
,日期,rìqí ,(N)
,時間,shíjiān ,(N)
,鐘頭,zhōngtóu ,(N)
,晚,wǎn ,(N)
,夜,yè ,(N)
,禮拜,lǐbài ,(N)
,禮拜天,lǐbàitiān ,(N)
,前天,qiántiān ,(N)
,後天,hòutiān ,(N)
,從前,cóngqián ,(N)
,夏,xià ,(N)
,冬,dōng ,(N)
,秋,qiū ,(N)
,春,chūn ,(N)
,一會兒,yīhuǐér ,(N)
,不久,bùjiǔ ,(N)
,剛剛,gānggāng ,(Adv)
,剛才,gāngcái ,(N)
,當然,dāngrán ,(Adv)
,自己,zìjǐ ,(N)
,別人,biérén ,(N)
,年紀,niánjì ,(N)
,男人,nánrén ,(N)
,女人,nǚrén ,(N)
,大人,dàrén ,(N)
,老人,lǎorén ,(N)
,習慣,xíguàn ,(N)
,習慣 ,xíguàn ,(VS)
,家庭,jiātíng ,(N)
,父親,fùqīn ,(N)
,母親,mǔqīn ,(N)
,父母,fùmŭ ,(N)
,爺爺,yéye,(N)
,奶奶,nǎinai ,(N)
,關係,guānxì ,(N)
,教堂,jiàotáng ,(N)
,好 ,hǎo ,(VS)
,真 ,zhēn ,(VS)
,最,zuì ,(Adv)
,更,gèng ,(Adv)
,愉快,yúkuài ,(VS)
,開心,kāixīn ,(VS)
,著急,zhāojí ,(VS)
,擔心,dānxīn ,(VS)
,生氣,shēngqì ,(VS)
,怕,pà ,(VS)
,哭,kū ,(VA)
,難過,nánguò ,(VS)
,傷心,shāngxīn ,(VS)
,美,měi ,(VS)
,美麗,měilì ,(VS)
,聰明,cōngmíng ,(VS)
,認真,rènzhēn ,(VS)
,勇敢,yŏnggăn ,(VS)
,禮貌,lĭmào ,(N)
,害羞,hàixiū ,(VS)
,應該,yīnggāi ,(Adv)
,相信,xiāngxìn ,(VS)
,經驗 ,jīngyàn ,(N)
,關心,guānxīn ,(VS)
,辛苦,xīnkǔ ,(VS)
,願意,yuànyì ,(VS)
,心情,xīnqíng ,(N)
,幸福,xìngfú ,(VS)
,可憐,kělián ,(VS)
,差,chà ,(VS)
工作,職業,zhíyè ,(N)
,教師,jiàoshī ,(N)
,經理,jīnglǐ ,(N)
,記者,jìzhě ,(N)
,服務員/服務生,fú​wù​yuán/fúwùshēng ,(N)
,顧客,gùkè ,(N)
,教書,jiāoshū ,(VA)
,開會,kāihuì ,(VA)
,下班,xiàbān ,(VA)
,危險,wéixiǎn ,(VS)
,安全,ānquán ,(VS)
,安全 ,ānquán ,(N)
,成功,chénggōng ,(VS)
,報告,bàogào ,(VA)
,報告 ,bàogào ,(N)
,打算,dǎsuàn ,(VA)
,機會,jīhuì ,(N)
,當,dāng ,(Prep)
,如果,rúguǒ ,(Conj)
,計畫/劃 ,jìhuà,(VA)
,計畫,jìhuà ,(N)
,努力,nǔlì ,(VS)
,管理,guănlǐ ,(VA)
教育,學院,xuéyuàn ,(N)
,小學生,xiăoxuéshēng ,(N)
,大學生,dàxuéshēng ,(N)
,同學,tóngxué ,(N)
,校長,xiàozhǎng ,(N)
,放假,fàngjià,(VS)
,畢業,bìyè ,(VS)
,開學,kāixué ,(VS)
,成績,chéngjī ,(N)
,學期,xuéqí ,(N)
,學費,xuéfèi ,(N)
,暑假,shŭjià ,(N)
,寒假,hánjià ,(N)
,服務,fúwù ,(VA)
,宿舍,sùshè,(N)
,操場,cāochăng ,(N)
,校園,xiàoyuán ,(N)
,中文,zhōngwén ,(N)
,文化,wénhuà ,(N)
,語法,yǔfǎ ,(N)
,漢語,hànyǔ ,(N)
,書法,shūfă ,(N)
,班,bān ,(M)
,班 ,bān ,(N)
,書桌,shūzhuō ,(N)
,課,kè ,(N)
,字典,zìdiǎn ,(N)
,漢字,hànzì ,(N)
,鉛筆,qiānbǐ ,(N)
,尺,chǐ ,(N)
,毛筆,máobĭ ,(N)
,教,jiào ,(VA)
,講,jiǎng ,(VA)
,講話,jiǎnghuà ,(VA)
,告訴,gàosù ,(VA)
