詞彙,漢語拼音,詞類
挨,āi ,(VS)
欸,ăi,(P)
愛戴,àidài ,(VS)
愛國,àiguó ,(VS)
愛滋病,àizībìng ,(N)
安頓,āndùn ,(VA)
安撫,ānfŭ ,(VS)
安寧,ānníng ,(VS)
安詳,ānxiáng ,(VS)
安置,ānzhì ,(VA)
暗暗,ànàn ,(Adv)
案件,ànjiàn ,(N)
案情,ànqíng ,(N)
案子,ànzi ,(N)
按摩,ànmó ,(VA)
昂貴,ángguì ,(VS)
奧妙,àomiào ,(VS)
懊惱,àonăo ,(VS)
八卦,bāguà ,(N)
八字,bāzì ,(N)
把,bă,(M)
把持,băchí ,(VA)
把手,băshǒu ,(N)
白皮書,báipíshū ,(N)
拜會,bàihuì ,(VA)
頒發,bānfā ,(VA)
頒獎,bānjiăng ,(VA)
辦案,bànàn ,(VA)
半島,bàndăo ,(N)
半導體,bàndăotǐ ,(N)
幫,bāng ,(M)
綁,băng ,(VA)
包袱,bāofú ,(N)
包圍,bāowéi ,(VA)
寶,băo ,(N)
寶貝,băobèi ,(VS)
寶石,băoshí ,(N)
飽和,băohé ,(VS)
飽滿,băomăn ,(VS)
保安,băoān ,(N)
保管,băoguăn ,(VA)
保齡球,băolíngqiú ,(N)
保姆,băomŭ ,(N)
保全,băoquán ,(VA)
保險,băoxiăn ,(VS)
保佑,băoyòu ,(VS)
保重,băozhòng ,(VS)
報案,bàoàn ,(VA)
報表,bàobiăo ,(N)
報酬,bàochóu ,(N)
報導,bàodǎo,(N)
報復,bàofù ,(VA)
報關,bàoguān ,(VA)
報價,bàojià ,(N)
報刊,bàokān ,(N)
報應,bàoyìng ,(N)
報章,bàozhāng,(N)
暴力,bàolì ,(VS)
暴雨,bàoyŭ ,(N)
爆發,bàofā ,(VS)
抱負,bàofù ,(N)
抱歉,bàoqiàn,(VS)
碑,bēi ,(N)
悲哀,bēiāi ,(VS)
悲觀,bēiguān ,(VS)
貝殼,bèiké ,(N)
倍數,bèishù ,(N)
背誦,bèisòng ,(VA)
背心,bèixīn ,(N)
被子,bèizi ,(N)
奔騰,bēnténg ,(VA)
本,běn ,(Adv)
本事,běnshì ,(N)
本位,běnwèi ,(N)
本性,běnxìng ,(N)
本質,běnzhí,(N)
崩潰,bēngkuì ,(VS)
甭,béng ,(Adv)
敝,bì,(Det)
必,bì ,(Adv)
編輯,biānjí ,(N)
編輯,biānjí ,(VA)
編寫,biānxiě ,(VA)
編織,biānzhī ,(VA)
編制,biānzhì ,(N)
編製,biānzhì ,(VA)
邊界,biānjiè ,(N)
邊緣,biānyuán ,(N)
貶,biăn ,(VS)
貶值,biănzhí ,(VS)
匾額,biăné ,(N)
便,biàn ,(N)
便利商店,biànlìshāngdiàn,(N)
辨認,biànrèn ,(VA)
辨識,biànshì ,(VA)
辯,biàn ,(VA)
辯護,biànhù ,(VA)
辯論,biànlùn ,(VA)
變革,biàngé ,(N)
變遷,biànqiān ,(VS)
變通,biàntōng ,(VA)
變形,biànxíng ,(VS)
標籤,biāoqiān ,(N)
標語,biāoyŭ ,(N)
表白,biăobái ,(VA)
表明,biăomíng ,(VA)
鼻孔,bíkǒng ,(N)
鼻涕,bítì ,(N)
筆錄,bǐlù ,(N)
筆友,bǐyǒu,(N)
比率,bǐlǜ ,(N)
比擬,bǐnǐ ,(VA)
比喻,bǐyù,(N)
比重,bǐzhòng ,(N)
必備,bìbèi ,(VS)
必定,bìdìng ,(Adv)
必然,bìrán ,(Adv)
閉幕,bìmù ,(VS)
閉塞,bìsè ,(VS)
避難,bìnàn,(VA)
避孕,bìyùn ,(VA)
畢生,bìshēng ,(N)
幣值,bìzhí ,(N)
憋,biē ,(VA)
別,bié ,(VA)
別墅,biéshù ,(N)
兵,bīng ,(N)
賓館,bīnguăn ,(N)
柄,bǐng ,(N)
並列,bìngliè ,(VA)
並重,bìngzhòng ,(VS)
併發,bìngfā ,(VA)
病床,bìngchuáng ,(N)
病菌,bìngjùn ,(N)
病情,bìngqíng ,(N)
撥,bō ,(VA)
波,bō ,(M)
波及,bōjí  ,(VS)
波浪,bōlàng ,(N)
剝,bō ,(VA)
剝削,bōxuè ,(VA)
搏鬥,bódòu ,(VA)
播出,bòchū ,(VA)
不便,búbiàn ,(VS)
不動產,búdòngchăn ,(N)
不力,búlì ,(VS)
不料,búliào ,(Adv)
不下,búxià ,(Adv)
不肖,búxiào ,(VS)
不懈,búxiè ,(VS)
不再,búzài ,(VS)
不致,búzhì ,(Adv)
不至/致於,búzhìyú ,(Adv)
補給,bǔjǐ,(VA)
補救,bŭjiù ,(VA)
補習班,bǔxíbān,(N)
哺乳動物,bŭrŭdòngwù ,(N)
不得,bùdé,(Adv)
不等,bùděng,(N)
不凡,bùfán ,(VS)
不妨,bùfáng ,(Adv)
不法,bùfă ,(VS)
不公,bùgōng ,(VS)
不禁,bùjīn,(VS)
不及,bùjí ,(VS)
不堪,bùkān,(VS)
不免,bùmiăn ,(Adv)
不容,bùróng ,(Adv)
不時,bùshí ,(Adv)
不惜,bùxí ,(VS)
不知不覺,bùzhībùjué,(Adv)
部落,bùluò ,(N)
部署,bùshŭ ,(VA)
步調,bùdiào ,(N)
步驟,bùzòu,(N)
猜測,cāicè ,(VA)
猜忌,cāijì ,(VS)
猜想,cāixiăng ,(VA)
裁縫,cáiféng ,(N)
