詞彙,漢語拼音,詞類
阿姨,āyí,(N)
哎,āi ,(P)
唉,āi ,(P)
愛,ài ,(N)
愛情,àiqíng ,(N)
愛惜,àixí ,(VS)
愛心,àixīn ,(N)
安定,āndìng ,(VS)
安排,ānpái ,(N)
安排,ānpái ,(VA)
安心,ānxīn ,(VS)
按,àn ,(Prep)
按照,ànzhào ,(Prep)
巴士,bāshì ,(N)
把,bǎ ,(M)
把握,băwò ,(VA)
白,bái ,(Adv)
白,bái ,(VS)
白(白),bái(bái),(Adv)
白菜,báicài ,(N)
白天,báitiān ,(N)
擺,băi ,(VA)
百貨公司,băihuògōngsī,(N)
班機,bānjī ,(N)
搬家,bānjiā ,(VA)
辦,bàn ,(VA)
辦理,bànlĭ,(VA)
半天,bàntiān ,(N)
半夜,bànyè ,(N)
幫助,bāngzhù ,(VA)
榜樣,băngyàng ,(N)
棒,bàng,(VS)
包,bāo ,(VA)
包含,bāohán ,(VS)
寶貝,băobèi,(N)
寶貴,băoguì ,(VS)
保護,băohù ,(VA)
保守,băoshǒu ,(VS)
保養,băoyăng ,(VA)
保證/証,băozhèng ,(N)
保證/証,băozhèng ,(VA)
抱,bào,(VA)
抱怨,bàoyuàn ,(VA)
報名,bàomíng ,(VA)
背包,bēibāo ,(N)
北方,běifāng ,(N)
被動,bèidòng ,(VS)
背後,bèihòu ,(N)
背景,bèijĭng ,(N)
輩子,bèizi ,(N)
本,běn ,(Det)
本人,běnrén ,(N)
本子,běnzi,(N)
笨,bèn ,(VS)
逼,bī ,(VA)
筆,bĭ,(M)
比,bǐ ,(VA)
比如(說),bǐrú(shuō),(Prep)
畢竟,bìjìng ,(Adv)
避免,bìmiăn ,(VA)
必要,bìyào ,(VS)
鞭炮,biānpào ,(N)
變,biàn ,(VS)
變成,biànchéng ,(VA)
變更,biàngēng ,(VA)
變化,biànhuà ,(N)
變化,biànhuà ,(VS)
便條,biàntiáo ,(N)
標準,biāozhŭn ,(N)
標準,biāozhŭn ,(VS)
表,biǎo ,(N)
表,biǎo ,(N)
表達,biăodá ,(VA)
表面,biăomiàn ,(N)
表示,biăoshì ,(VA)
表現,biǎoxiàn ,(N)
表現,biǎoxiàn ,(VA)
表演,biǎoyǎn ,(VA)
別的,biéde,(Det)
冰,bīng ,(N)
冰塊/冰塊兒,bīngkuài/bīngkuàir,(N)
餅,bǐng ,(N)
病,bìng ,(VS)
伯伯,bóbo ,(N)
博士,bóshì ,(N)
播,bò ,(VA)
不必,búbì ,(Adv)
不斷,búduàn ,(Adv)
不斷,búduàn ,(VS)
不過,búguò ,(Adv)
不過,búguò ,(Conj)
不見(了),bújiàn(le),(VS)
不論,búlùn ,(Conj)
不幸,búxìng ,(VS)
不用說,búyòngshuō ,(Conj)
不得不,bùdébù ,(Adv)
不得了,bùdéliăo ,(VS)
不管,bùguǎn ,(Conj)
不滿,bùmăn ,(VS)
不如,bùrú ,(Conj)
不少,bùshǎo ,(Det)
不少,bùshǎo ,(VS)
不足,bùzú ,(VS)
部,bù ,(M)
部分/份,bùfèn,(Det)
部分/份,bùfèn,(N)
部門,bùmén ,(N)
布,bù ,(N)
布/佈置,bùzhì ,(VA)
擦,cā,(VA)
猜,cāi,(VA)
材料,cáiliào ,(N)
採用,căiyòng ,(VA)
餐,cān,(M)
餐桌,cānzhuō,(N)
參考,cānkăo ,(VA)
草地,cǎodì,(N)
草原,cǎoyuán ,(N)
層,céng ,(M)
曾,céng ,(Adv)
曾經,céngjīng ,(Adv)
差別,chābié ,(N)
差異,chāyì ,(N)
查,chá ,(VA)
差(一)點/差(一)點兒,chà(yì)diăn/chà(yì)diănr,(Adv)
產品,chǎnpǐn ,(N)
產生,chănshēng ,(VS)
常,cháng,(Adv)
嘗/嚐試,chángshì ,(VA)
場,chǎng ,(M)
超過,chāoguò ,(VS)
超級,chāojí ,(VS)
炒,chăo ,(VA)
吵,chăo,(VA)
吵架,chăojià ,(VA)
車禍,chēhuò ,(N)
趁,chèn ,(Prep)
成,chéng ,(VA)
成果,chéngguǒ ,(N)
成就,chéngjiù ,(N)
成熟,chéngshú,(VS)
成長,chéngzhăng ,(VS)
程度,chéngdù ,(N)
承認,chéngrèn ,(VA)
誠實,chéngshí ,(VS)
吃喝玩樂,chīhēwánlè ,(VA)
尺,chǐ ,(M)
充實,chōngshí ,(VS)
重新,chóngxīn ,(Adv)
蟲(子),chóng(zi),(N)
抽,chōu ,(VA)
醜,chŏu,(VS)
臭,chòu ,(VS)
初,chū ,(N)
出版,chūbăn ,(VA)
出差,chūchāi ,(VA)
出門,chūmén ,(VA)
出租,chūzū ,(VA)
除了,chúle ,(Prep)
除夕,chúxì ,(N)
廚師,chúshī ,(N)
處理,chŭlĭ,(VA)
傳統,chuántŏng ,(VS)
串,chuàn ,(M)
創造,chuàngzào ,(VA)
吹,chuī,(VA)
春節,chūnjié ,(N)
詞,cí ,(N)
此,cĭ,(Det)
刺激,cìjī ,(N)
刺激,cìjī ,(VS)
從不,cóngbù ,(Adv)
從來,cónglái ,(Adv)
從小,cóngxiăo ,(Adv)
醋,cù ,(N)
存,cún ,(VA)
存在,cúnzài ,(VA)
寸,cùn ,(M)
錯,cuò ,(N)
錯誤,cuòwù ,(N)
挫折,cuòzhé ,(N)
答應,dāyìng ,(VA)
達成,dáchéng ,(VA)
打工,dăgōng ,(VA)
打架,dăjià ,(VA)
打聽,dătīng ,(VA)
打仗,dăzhàng ,(VA)
打折,dăzhé ,(VA)
大大,dàdà ,(VS)
大多數,dàduōshù ,(Det)
大方,dàfāng ,(VS)
大概,dàgài ,(Adv)
大會,dàhuì ,(N)
大陸,dàlù ,(N)
大門,dàmén ,(N)
大小,dàxiăo ,(N)
大約,dàyuē ,(Adv)
袋,dài ,(M)
代表,dàibiǎo ,(N)
代表,dàibiǎo ,(VA)
代替,dàitì ,(VA)
帶來,dàilái ,(VA)
帶領,dàilĭng ,(VA)
單純,dānchún ,(VS)
單身,dānshēn ,(VS)
擔任,dānrèn ,(VA)
但,dàn ,(Conj)
淡,dàn ,(VS)
當,dāng ,(VA)
當場,dāngchăng ,(Adv)
當地,dāngdì ,(N)
當面,dāngmiàn ,(Adv)
當年,dāngnián ,(N)
當天,dāngtiān ,(N)
當中,dāngzhōng ,(N)
當作,dāngzuò ,(VA)
當做,dāngzuò ,(VA)
倒,dǎo ,(VA)
島,dăo ,(N)
導演,dăoyăn ,(N)
到,dào,(Conj)
到,dào,(Prep)
到處,dàochù ,(Adv)
到底,dàodĭ,(VS)
到底,dàodǐ ,(Adv)
道德,dàodé ,(N)
道教,Dàojiào,(N)
道理,dàolǐ ,(N)
道歉,dàoqiàn ,(VA)
倒,dào ,(Adv)
倒是,dàoshì ,(Adv)
得,dé ,(VS)
得到,dédào ,(VS)
得意,déyì ,(VS)
得很,dehěn ,(Adv)
的話,dehuà ,(Conj)
得,děi,(Adv)
燈光,dēngguāng ,(N)
等,děng ,(Prep)
等/等等,děng/děngděng,(N)
等待,děngdài ,(VS)
低,dī,(VS)
敵人,dírén ,(N)
底,dǐ ,(N)
底下,dǐxià ,(N)
抵達,dĭdá ,(VA)
地,dì ,(P)
地板,dìbăn ,(N)
地帶,dìdài ,(N)
地點,dìdiăn ,(N)
地理,dìlĭ ,(N)
地區,dìqū ,(N)
地攤,dìtān ,(N)
地位,dìwèi ,(N)
地下,dìxià ,(N)
地形,dìxíng ,(N)
點,diăn,(M)
點,diăn,(N)
點,diǎn ,(VA)
點/點兒,diǎn/diǎnr,(Adv)
電,diàn ,(N)
電車,diànchē ,(N)
電池,diànchí ,(N)
電燈,diàndēng,(N)
店員,diànyuán ,(N)
調查,diàochá ,(VA)
訂,dìng ,(VA)
丟,diū ,(VA)
東北,dōngběi ,(N)
東方,dōngfāng ,(N)
東南,dōngnán ,(N)
懂事,dǒngshì ,(VS)
逗,dòu ,(VA)
豆腐,dòufŭ ,(N)
豆漿,dòujiāng ,(N)
都市,dūshì ,(N)
毒品,dúpǐn ,(N)
獨特,dútè ,(VS)
讀者,dúzhě ,(N)
段,duàn ,(M)
堆,duī ,(M)
對,duì ,(M)
對,duì ,(Prep)
對,duì ,(VA)
對不起,duìbùqǐ,(VS)
對方,duìfāng ,(N)
對話,duìhuà ,(N)
對了,duìle,(VS)
對象,duìxiàng ,(N)
多多少少,duōduōshăoshăo ,(Adv)
多麼,duóme ,(Adv)
朵,duǒ,(M)
頓,dùn ,(M)
嗯,ēn ,(P)
而,ér ,(Conj)
兒童,értóng ,(N)
發,fā,(VA)
發表,fābiăo ,(VA)
發財,fācái ,(VS)
發出,fāchū ,(VA)
發達,fādá ,(VS)
發揮,fāhuī ,(VS)
發覺,fājué ,(VS)
發明,fāmíng ,(N)
發明,fāmíng ,(VA)
發脾氣,fāpíqì ,(VA)
發票,fāpiào ,(N)
法律,fălǜ,(N)
翻,fān ,(VA)
翻譯,fānyì ,(VA)
煩惱,fánnăo ,(VS)
反而,fănér ,(Conj)
反應,fănyìng ,(N)
犯,fàn ,(VA)
範圍,fànwéi ,(N)
方面,fāngmiàn ,(N)
方式,fāngshì ,(N)
房東,fángdōng ,(N)
房客,fángkè ,(N)
房屋,fángwū ,(N)
訪問,fǎngwèn ,(VA)
放心,fàngxīn ,(VS)
非,fēi ,(Adv)
非,fēi ,(VA)
飛,fēi ,(VA)
費用,fèiyòng ,(N)
分開,fēnkāi ,(VS)
份,fèn ,(M)
封,fēng,(M)
豐富,fēngfù ,(VS)
風格,fēnggé ,(N)
風俗,fēngsú ,(N)
佛教,Fójiào,(N)
否則,fŏuzé ,(Conj)
夫婦,fūfù ,(N)
符合,fúhé ,(VS)
福利,fúlì ,(N)
服裝,fúzhuāng ,(N)
腐敗,fŭbài ,(VS)
付出,fùchū ,(VA)
負擔,fùdān ,(N)
負擔,fùdān ,(VA)
負責,fùzé ,(VS)
複習,fùxí ,(VA)
該,gāi ,(Adv)
該,gāi ,(VS)
改,gǎi ,(VA)
改變,gǎibiàn ,(N)
改變,gǎibiàn ,(VA)
改進,găijìn ,(VA)
改善,găishàn ,(VA)
改天,găitiān ,(Adv)
蓋,gài ,(VA)
概念,gàiniàn ,(N)
敢,gǎn ,(VS)
趕,găn ,(VA)
趕快,gǎnkuài ,(Adv)
趕上,gănshàng ,(VA)
感動,găndòng ,(VS)
感想,gănxiăng ,(N)
感興趣,gănxìngqù ,(VS)
剛,gāng ,(Adv)
高速,gāosù ,(VS)
