詞彙,漢語拼音,詞類
哎呀,āiya ,(P)
哎喲,āiyāo ,(P)
愛好,àihào ,(N)
愛好,àihào ,(VS)
愛護,àihù ,(VA)
愛人,àirén ,(N)
安慰,ānwèi ,(VA)
安裝,ānzhuāng ,(VA)
按,àn ,(VA)
按時,ànshí ,(Adv)
暗,àn ,(VS)
暗中,ànzhōng ,(Adv)
骯髒,āngzhāng ,(VS)
熬,áo ,(VA)
拔,bá ,(VA)
把,bă ,(M)
把握,băwò ,(N)
罷工,bàgōng ,(VA)
罷了,bàle ,(P)
擺脫,băituō ,(VA)
敗,bài ,(VS)
拜,bài ,(VA)
拜拜,bàibài ,(VA)
拜訪,bàifăng ,(VA)
拜年,bàinián ,(VA)
拜託,bàituō ,(VA)
般,bān ,(N)
班,bān ,(M)
班長,bānzhăng ,(N)
搬運,bānyùn ,(VA)
拌,bàn ,(VA)
半路,bànlù ,(N)
半數,bànshù ,(Det)
辦公,bàngōng ,(VA)
辦事,bànshì ,(VA)
扮演,bànyăn ,(VA)
傍晚,bāngwăn ,(N)
磅,bàng ,(M)
棒,bàng ,(M)
棒子,bàngzi ,(N)
包裹,bāoguǒ,(N)
包括,bāokuò ,(VS)
包裝,bāozhuāng ,(N)
包裝,bāozhuāng ,(VA)
保,băo ,(VA)
保持,băochí,(VS)
保存,băocún,(VA)
保留,băoliú ,(VA)
保衛,băowèi ,(VA)
保障,băozhàng ,(N)
保障,băozhàng ,(VA)
寶寶,băobao,(N)
抱,bào ,(VS)
報,bào ,(VA)
報仇,bàochóu,(VA)
報答,bàodá,(VA)
報導,bàodăo,(VA)
報到,bàodào,(VA)
報警,bàojĭng ,(VA)
報社,bàoshè ,(N)
暴力,bàolì ,(N)
暴躁,bàozào ,(VS)
爆炸,bàozhà ,(VS)
悲劇,bēijù ,(N)
悲痛,bēitòng ,(VS)
倍,bèi ,(N)
備,bèi ,(VA)
背面,bèimiàn ,(N)
奔,bēn ,(VA)
奔跑,bēnpăo ,(VA)
本來,běnlái ,(VS)
本領,běnlĭng,(N)
本身,běnshēn ,(N)
本土,běntŭ ,(N)
笨重,bènzhòng ,(VS)
比,bĭ,(VA)
比方,bĭfāng ,(N)
比方(說),bĭfāng(shūo),(Prep)
比較,bǐjiào ,(VA)
比較,bĭjiào ,(N)
比例,bĭlì ,(N)
彼此,bĭcĭ ,(N)
筆,bĭ,(M)
筆記,bĭjì ,(N)
筆試,bĭshì ,(N)
筆試,bĭshì ,(VA)
閉,bì ,(VA)
必須,bìxū ,(VS)
必要,bìyào ,(N)
編,biān ,(VA)
扁,biăn ,(VS)
便,biàn ,(Adv)
便利,biànlì ,(VS)
變動,biàndòng ,(N)
變動,biàndòng ,(VS)
標題,biāotí ,(N)
標誌,biāozhì ,(N)
表格,biăogé ,(N)
表情,biăoqíng ,(N)
表揚,biăoyáng ,(VA)
冰,bīng ,(VS)
丙,bĭng ,(Det)
並,bìng ,(Adv)
並,bìng ,(Conj)
並且,bìngqiě ,(Conj)
病毒,bìngdú ,(N)
病房,bìngfáng ,(N)
撥,bō ,(VA)
菠菜,bōcài ,(N)
波動,bōdòng ,(VA)
玻璃,bōlí ,(N)
薄,bó ,(VS)
薄弱,bóruò ,(VS)
伯父,bófù ,(N)
伯母,bómŭ ,(N)
不大,búdà ,(Adv)
不當,búdàng ,(VS)
不到,búdào ,(VS)
不顧,búgù ,(VS)
不過,búguò ,(Adv)
不見得,bújiàndé ,(Adv)
捕,bŭ ,(VA)
補,bŭ ,(VA)
補償,bŭcháng ,(VA)
補充,bŭchōng ,(VA)
補課,bŭkè ,(VA)
補習,bŭxí ,(VA)
補助,bŭzhù ,(N)
補助,bŭzhù ,(VA)
步,bù ,(M)
不安,bùān ,(VS)
不成,bùchéng ,(VS)
不得已,bùdéyĭ,(VS)
不敢當,bùgăndāng ,(VS)
不僅,bùjĭn ,(Conj)
不良,bùliáng,(VS)
不平,bùpíng ,(VS)
不然,bùrán ,(Conj)
不如,bùrú ,(VS)
不許,bùxŭ ,(Adv)
不宜,bùyí ,(VS)
不由得,bùyóude ,(Adv)
不止,bùzhǐ ,(VS)
部隊,bùduì ,(N)
部長,bùzhăng ,(N)
布/佈告,bùgào,(N)
布/佈告欄,bùgàolán ,(N)
財產,cáichăn ,(N)
財富,cáifù ,(N)
才能,cáinéng ,(N)
裁判,cáipàn ,(N)
裁員,cáiyuán ,(VA)
踩,căi ,(VA)
採,căi ,(VA)
採購,căigòu ,(VA)
彩色,căisè ,(VS)
參與,cānyù ,(VA)
蠶,cán ,(N)
慚愧,cánkuì ,(VS)
慘,căn ,(VS)
倉庫,cāngkù ,(N)
藏,cáng ,(VA)
操心,cāoxīn ,(VS)
操作,cāozuò ,(VA)
冊,cè ,(M)
策略,cèlüè ,(N)
測量,cèliáng ,(VA)
測試,cèshì ,(VA)
測驗,cèyàn ,(N)
測驗,cèyàn ,(VA)
差,chā,(N)
差錯,chācuò ,(N)
差距,chājù ,(N)
插,chā ,(VA)
插花,chāhuā ,(VA)
插圖,chātú ,(N)
茶館/茶館兒,cháguăn/cháguănr,(N)
茶會,cháhuì ,(N)
茶葉,cháyè ,(N)
拆,chāi ,(VA)
產,chăn ,(VA)
產量,chănliàng ,(N)
產業,chănyè ,(N)
嘗/嚐,cháng,(VA)
嘗/嚐試,chángshì ,(N)
常識,chángshì ,(N)
長處,chángchù ,(N)
長度,chángdù ,(N)
長方形,chángfāngxíng ,(N)
長久,chángjiŭ ,(VS)
長途,chángtú ,(VS)
場,chăng ,(M)
場地,chăngdì ,(N)
場合,chănghé ,(N)
場所,chăngsuŏ ,(N)
廠商,chăngshāng ,(N)
抄,chāo ,(VA)
鈔票,chāopiào ,(N)
超出,chāochū ,(VS)
超人,chāorén ,(N)
超越,chāoyuè ,(VA)
超重,chāozhòng ,(VS)
朝,cháo ,(Prep)
潮流,cháoliú ,(N)
潮溼/濕,cháoshī ,(VS)
吵鬧,chăonào ,(VA)
車票,chēpiào ,(N)
